estimator,portfolio,regime,vaR95,es95,violation_rate,realised_var,realised_es,qlike,mv_turnover,mv_turnover_cost_bps,cov_condition
oas,mv,calm,-0.007100220090804726,-0.008903962442280297,0.2,1.4739376885423686e-05,-0.007116567872369585,0.02545079953758611,0.033565715649324514,0.16782857824662256,239.48391786077286
cc,ew,calm,-0.015379600396208238,-0.019286639365230847,0.0,3.328321059943199e-05,,0.34643399469156133,0.0,0.0,16713.2910756219
cc,mv,calm,-0.0090267351800747,-0.011319890086771379,0.0,1.4739376885423686e-05,,0.2039654059468312,0.033565715649324514,0.16782857824662256,16713.2910756219
quest,ew,calm,-0.007353629103179551,-0.00922174756722916,0.2,3.328321059943199e-05,-0.010902957471170906,0.1552698992940602,0.0,0.0,304.2467131937461
quest,mv,calm,-0.005340831030833772,-0.006697617580995201,0.4,1.4739376885423686e-05,-0.006357347412125248,0.0629654113865572,0.033565715649324514,0.16782857824662256,304.2467131937461
ewma,ew,calm,-0.015858759203669835,-0.019887523840777056,0.0,3.328321059943199e-05,,0.3851361278932883,0.0,0.0,997624.4824631984
ewma,mv,calm,-0.007272596935002879,-0.009120129959206552,0.0,1.4739376885423686e-05,,0.03637239681904125,0.033565715649324514,0.16782857824662256,997624.4824631984
overlay,ew,full,-0.015078691015299206,-0.018909286861804406,0.0,1.0178309300415095e-05,,1.232119773791517,0.0,0.0,264.1443964729135
overlay,mv,full,-0.007185668570760795,-0.009011118283444166,0.0,6.214796476196934e-06,,0.4475883395835525,0.056987681037698315,0.28493840518849156,264.1443964729135
baseline,ew,full,-0.015078691015299206,-0.018909286861804406,0.0,1.0178309300415095e-05,,1.232119773791517,0.0,0.0,264.1443964729135
baseline,mv,full,-0.007185668570760795,-0.009011118283444166,0.0,6.214796476196934e-06,,0.4475883395835525,0.056987681037698315,0.28493840518849156,264.1443964729135
sample,ew,full,-0.015851710553084666,-0.019878684548575342,0.0,1.0178309300415095e-05,,1.3205848726607172,0.0,0.0,581817.1290885775
sample,mv,full,-0.007200836826325795,-0.009030139887864653,0.0,6.214796476196934e-06,,0.45043521965229116,0.056987681037698315,0.28493840518849156,581817.1290885775
scm,ew,full,-0.015851710553084666,-0.019878684548575342,0.0,1.0178309300415095e-05,,1.3205848726607172,0.0,0.0,581817.1290885775
scm,mv,full,-0.007200836826325795,-0.009030139887864653,0.0,6.214796476196934e-06,,0.45043521965229116,0.056987681037698315,0.28493840518849156,581817.1290885775
rie,ew,full,-0.007865330973089262,-0.00986344235598947,0.0,1.0178309300415095e-05,,0.2545070382720005,0.0,0.0,7.551019108942204
