design,window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
dow-tyler,103.0,2020-09-29T00:00:00,full,0.0186583503079126,0.0158116003165099,0.0241020402030314,mid
dow-tyler,104.0,2020-09-30T00:00:00,full,0.0182604106506927,0.0158443082158466,0.0240899596227472,mid
dow-tyler,105.0,2020-10-01T00:00:00,full,0.0179994673779201,0.0158770161151832,0.0240778790424631,mid
dow-tyler,106.0,2020-10-02T00:00:00,full,0.0177072973907302,0.0159097240145199,0.0240657984621789,mid
dow-tyler,107.0,2020-10-05T00:00:00,full,0.0177021971668588,0.0159424319138566,0.0240537178818947,mid
dow-tyler,108.0,2020-10-06T00:00:00,full,0.0177332439787867,0.01594349535591,0.0240455982328547,mid
dow-tyler,109.0,2020-10-07T00:00:00,full,0.0173692495118513,0.0159445587979634,0.0240374785838147,mid
dow-tyler,110.0,2020-10-08T00:00:00,full,0.0173774819894274,0.0159456222400168,0.0240293589347747,mid
dow-tyler,111.0,2020-10-09T00:00:00,full,0.0170547497631889,0.0159466856820703,0.0240212392857347,mid
dow-tyler,112.0,2020-10-12T00:00:00,full,0.0166958990434003,0.0159477491241237,0.0240131196366947,mid
dow-tyler,113.0,2020-10-13T00:00:00,full,0.0166103682121763,0.0159702896324778,0.0239938168499832,mid
dow-tyler,114.0,2020-10-14T00:00:00,full,0.0172449096857122,0.015992830140832,0.0239745140632717,mid
dow-tyler,115.0,2020-10-15T00:00:00,full,0.0168853478152004,0.0160153706491862,0.0239552112765603,mid
dow-tyler,116.0,2020-10-16T00:00:00,full,0.0167831405316025,0.0160379111575404,0.0239359084898488,mid
dow-tyler,117.0,2020-10-19T00:00:00,full,0.0168451829969178,0.0160604516658945,0.0239166057031374,mid
dow-tyler,118.0,2020-10-20T00:00:00,full,0.0170945003967085,0.0160605715740609,0.0239151708928523,mid
dow-tyler,119.0,2020-10-21T00:00:00,full,0.0165257951496626,0.0160606914822273,0.0239137360825671,mid
dow-tyler,120.0,2020-10-22T00:00:00,full,0.0164507067198796,0.0160608113903937,0.023912301272282,mid
dow-tyler,121.0,2020-10-23T00:00:00,full,0.0163310431716408,0.0160609312985601,0.0239108664619969,mid
dow-tyler,122.0,2020-10-26T00:00:00,full,0.0163852033250709,0.0160610512067265,0.0239094316517118,mid
dow-tyler,123.0,2020-10-27T00:00:00,calm,0.0160676222384023,0.0160779505538289,0.0238868350050205,calm
dow-tyler,124.0,2020-10-28T00:00:00,full,0.0165049364106625,0.0160636796193968,0.0238642383583292,mid
dow-tyler,125.0,2020-10-29T00:00:00,full,0.017214384036395,0.016064993825732,0.0238416417116379,mid
dow-tyler,126.0,2020-10-30T00:00:00,full,0.0174212676438941,0.0160663080320671,0.0238190450649466,mid
dow-tyler,127.0,2020-11-02T00:00:00,full,0.0174882606538339,0.0160676222384023,0.0237964484182554,mid
dow-tyler,128.0,2020-11-03T00:00:00,full,0.0176496927044824,0.0160832073791696,0.0237826209343585,mid
dow-tyler,129.0,2020-11-04T00:00:00,full,0.0175303109199137,0.0160987925199368,0.0237687934504616,mid
dow-tyler,130.0,2020-11-05T00:00:00,full,0.0177340408471645,0.0161143776607041,0.0237549659665647,mid
dow-tyler,131.0,2020-11-06T00:00:00,full,0.0179419393802842,0.0161299628014713,0.0237411384826678,mid
dow-tyler,132.0,2020-11-09T00:00:00,full,0.0186115646220341,0.0161455479422385,0.0237273109987709,mid
dow-tyler,133.0,2020-11-10T00:00:00,full,0.0199160140856156,0.0161706535776637,0.0237215160154947,mid
dow-tyler,134.0,2020-11-11T00:00:00,full,0.0200230912201056,0.0161957592130888,0.0237157210322185,mid
dow-tyler,135.0,2020-11-12T00:00:00,full,0.0198500784985107,0.016220864848514,0.0237099260489423,mid
dow-tyler,136.0,2020-11-13T00:00:00,full,0.0195202613114857,0.0162459704839391,0.023704131065666,mid
dow-tyler,137.0,2020-11-16T00:00:00,full,0.0192198791495514,0.0162710761193643,0.0236983360823898,mid
dow-tyler,138.0,2020-11-17T00:00:00,full,0.0188653185192326,0.016276166404799,0.0236748866350945,mid
dow-tyler,139.0,2020-11-18T00:00:00,full,0.0183265434867925,0.0162812566902338,0.0236514371877992,mid
dow-tyler,140.0,2020-11-19T00:00:00,full,0.0184197137336451,0.0162863469756686,0.0236279877405038,mid
dow-tyler,141.0,2020-11-20T00:00:00,full,0.0180454576791726,0.0162914372611034,0.0236045382932085,mid
dow-tyler,142.0,2020-11-23T00:00:00,full,0.0176676922902055,0.0162965275465382,0.0235810888459132,mid
dow-tyler,143.0,2020-11-24T00:00:00,full,0.018077794449402,0.0163034306715587,0.0235694895899797,mid
dow-tyler,144.0,2020-11-25T00:00:00,full,0.0181577887577203,0.0163103337965792,0.0235578903340463,mid
dow-tyler,145.0,2020-11-27T00:00:00,full,0.0178556468261862,0.0163172369215997,0.0235462910781128,mid
dow-tyler,,,full,0.0175485242241215,0.0163241400466202,0.0235346918221793,mid
dow-tyler,,,full,0.0176919541243448,0.0163310431716408,0.0235230925662459,mid
dow-tyler,,,full,0.0180454201528154,0.0163323659133757,0.0235093886270581,mid
dow-tyler,,,full,0.0178045840066705,0.0163336886551106,0.0234956846878703,mid
dow-tyler,,,full,0.0177941835666437,0.0163350113968455,0.0234819807486825,mid
dow-tyler,,,full,0.0177076313042788,0.0163363341385803,0.0234682768094948,mid
dow-tyler,152.0,2020-12-08T00:00:00,full,0.0173953193566693,0.0163376568803152,0.023454572870307,mid
dow-tyler,153.0,2020-12-09T00:00:00,full,0.0170273568014918,0.0163447867297311,0.0233681612256483,mid
dow-tyler,154.0,2020-12-10T00:00:00,full,0.0166722812076626,0.0163519165791468,0.0232817495809897,mid
dow-tyler,155.0,2020-12-11T00:00:00,full,0.0164160069602134,0.0163590464285627,0.023195337936331,mid
dow-tyler,156.0,2020-12-14T00:00:00,calm,0.0161026434145843,0.0163661762779785,0.0231089262916724,calm
